date,state_name,state_fips_code,daily_confirmed_cases,daily_deaths,confirmed_cases,deaths
2020-01-26,Arizona,04,1,0,1,0
2020-01-27,Arizona,04,1,0,2,0
2020-01-28,Arizona,04,1,0,3,0
2020-01-29,Arizona,04,1,0,4,0
2020-01-30,Arizona,04,1,0,5,0
2020-01-31,Arizona,04,1,0,6,0
2020-02-01,Arizona,04,1,0,7,0
2020-02-02,Arizona,04,1,0,8,0
2020-02-03,Arizona,04,1,0,9,0
2020-02-04,Arizona,04,1,0,10,0
2020-02-05,Arizona,04,1,0,11,0
2020-02-06,Arizona,04,1,0,12,0
2020-02-07,Arizona,04,1,0,13,0
2020-02-08,Arizona,04,1,0,14,0
2020-02-09,Arizona,04,1,0,15,0
2020-02-10,Arizona,04,1,0,16,0
2020-02-11,Arizona,04,1,0,17,0
2020-02-12,Arizona,04,1,0,18,0
2020-02-13,Arizona,04,1,0,19,0
2020-02-14,Arizona,04,1,0,20,0
2020-02-15,Arizona,04,1,0,21,0
2020-02-16,Arizona,04,1,0,22,0
2020-02-17,Arizona,04,1,0,23,0
2020-02-18,Arizona,04,1,0,24,0
2020-02-19,Arizona,04,1,0,25,0
2020-02-20,Arizona,04,1,0,26,0
2020-02-21,Arizona,04,1,0,27,0
2020-02-22,Arizona,04,1,0,28,0
2020-02-23,Arizona,04,1,0,29,0
2020-02-24,Arizona,04,1,0,30,0
2020-02-25,Arizona,04,1,0,31,0
2020-02-26,Arizona,04,1,0,32,0
2020-02-27,Arizona,04,1,0,33,0
2020-02-28,Arizona,04,1,0,34,0
2020-02-29,Arizona,04,1,0,35,0
2020-03-01,Arizona,04,1,0,36,0
2020-03-02,Arizona,04,1,0,37,0
2020-03-03,Arizona,04,2,0,39,0
2020-03-04,Arizona,04,2,0,41,0
2020-03-05,Arizona,04,2,0,43,0
2020-03-06,Arizona,04,3,0,46,0
2020-03-07,Arizona,04,5,0,51,0
2020-03-08,Arizona,04,5,0,56,0
2020-03-09,Arizona,04,6,0,62,0
2020-03-10,Arizona,04,6,0,68,0
2020-03-11,Arizona,04,9,0,77,0
2020-03-12,Arizona,04,9,0,86,0
2020-03-13,Arizona,04,9,0,95,0
2020-03-14,Arizona,04,12,0,107,0
2020-03-15,Arizona,04,13,0,120,0
2020-03-16,Arizona,04,18,0,138,0
2020-03-17,Arizona,04,20,0,158,0
2020-03-18,Arizona,04,28,0,186,0
2020-03-19,Arizona,04,47,0,233,0
2020-03-20,Arizona,04,70,1,303,1
2020-03-21,Arizona,04,104,1,407,2
2020-03-22,Arizona,04,153,2,560,4
2020-03-23,Arizona,04,234,2,794,6
2020-03-24,Arizona,04,326,6,1120,12
2020-03-25,Arizona,04,402,6,1522,18
2020-03-26,Arizona,04,508,8,2030,26
2020-03-27,Arizona,04,665,15,2695,41
2020-03-28,Arizona,04,773,15,3468,56
2020-03-29,Arizona,04,929,18,4397,74
2020-03-30,Arizona,04,1169,20,5566,94
2020-03-31,Arizona,04,1298,24,6864,118
2020-04-01,Arizona,04,1413,29,8277,147
2020-04-02,Arizona,04,1600,35,9877,182
2020-04-03,Arizona,04,1769,41,11646,223
2020-04-04,Arizona,04,2019,53,13665,276
2020-04-05,Arizona,04,2269,64,15934,340
2020-04-06,Arizona,04,2465,67,18399,407
2020-04-07,Arizona,04,2575,77,20974,484
2020-04-08,Arizona,04,2726,80,23700,564
2020-04-09,Arizona,04,3018,89,26718,653
2020-04-10,Arizona,04,3112,97,29830,750
2020-04-11,Arizona,04,3393,112,33223,862
2020-04-12,Arizona,04,3539,117,36762,979
2020-04-13,Arizona,04,3702,122,40464,1101
2020-03-11,Arkansas,05,1,0,1,0
2020-03-12,Arkansas,05,6,0,7,0
2020-03-13,Arkansas,05,7,0,14,0
2020-03-14,Arkansas,05,9,0,23,0
2020-03-15,Arkansas,05,16,0,39,0
2020-03-16,Arkansas,05,22,0,61,0
2020-03-17,Arkansas,05,22,0,83,0
2020-03-18,Arkansas,05,33,0,116,0
2020-03-19,Arkansas,05,62,0,178,0
2020-03-20,Arkansas,05,100,0,278,0
2020-03-21,Arkansas,05,118,0,396,0
2020-03-22,Arkansas,05,165,0,561,0
2020-03-23,Arkansas,05,201,0,762,0
2020-03-24,Arkansas,05,232,2,994,2
2020-03-25,Arkansas,05,308,2,1302,4
2020-03-26,Arkansas,05,351,3,1653,7
2020-03-27,Arkansas,05,386,3,2039,10
2020-03-28,Arkansas,05,409,5,2448,15
2020-03-29,Arkansas,05,449,6,2897,21
2020-03-30,Arkansas,05,508,7,3405,28
2020-03-31,Arkansas,05,564,8,3969,36
2020-04-01,Arkansas,05,624,10,4593,46
2020-04-02,Arkansas,05,683,12,5276,58
2020-04-03,Arkansas,05,738,12,6014,70
2020-04-04,Arkansas,05,743,14,6757,84
2020-04-05,Arkansas,05,853,16,7610,100
2020-04-06,Arkansas,05,927,16,8537,116
2020-04-07,Arkansas,05,997,18,9534,134
2020-04-08,Arkansas,05,1077,18,10611,152
2020-04-09,Arkansas,05,1146,21,11757,173
2020-04-10,Arkansas,05,1202,24,12959,197
2020-04-11,Arkansas,05,1228,25,14187,222
2020-04-12,Arkansas,05,1280,27,15467,249
2020-04-13,Arkansas,05,1475,30,16942,279
2020-01-25,California,06,1,0,1,0
2020-01-26,California,06,2,0,3,0
2020-01-27,California,06,2,0,5,0
2020-01-28,California,06,2,0,7,0
2020-01-29,California,06,2,0,9,0
2020-01-30,California,06,2,0,11,0
2020-01-31,California,06,3,0,14,0
2020-02-01,California,06,3,0,17,0
2020-02-02,California,06,6,0,23,0
2020-02-03,California,06,6,0,29,0
2020-02-04,California,06,6,0,35,0
2020-02-05,California,06,6,0,41,0
2020-02-06,California,06,6,0,47,0
2020-02-07,California,06,6,0,53,0
2020-02-08,California,06,6,0,59,0
2020-02-09,California,06,6,0,65,0
2020-02-10,California,06,7,0,72,0
2020-02-11,California,06,7,0,79,0
2020-02-12,California,06,7,0,86,0
2020-02-13,California,06,7,0,93,0
2020-02-14,California,06,7,0,100,0
2020-02-15,California,06,7,0,107,0
2020-02-16,California,06,7,0,114,0
2020-02-17,California,06,7,0,121,0
2020-02-18,California,06,7,0,128,0
2020-02-19,California,06,7,0,135,0
2020-02-20,California,06,8,0,143,0
2020-02-21,California,06,9,0,152,0
2020-02-22,California,06,9,0,161,0
2020-02-23,California,06,9,0,170,0
2020-02-24,California,06,11,0,181,0
2020-02-25,California,06,11,0,192,0
2020-02-26,California,06,26,0,218,0
2020-02-27,California,06,26,0,244,0
2020-02-28,California,06,27,0,271,0
2020-02-29,California,06,28,0,299,0
2020-03-01,California,06,33,0,332,0
2020-03-02,California,06,38,0,370,0
2020-03-03,California,06,45,0,415,0
2020-03-04,California,06,55,1,470,1
2020-03-05,California,06,67,1,537,2
2020-03-06,California,06,81,1,618,3
2020-03-07,California,06,100,1,718,4
2020-03-08,California,06,112,1,830,5
2020-03-09,California,06,172,2,1002,7
2020-03-10,California,06,179,3,1181,10
2020-03-11,California,06,202,4,1383,14
2020-03-12,California,06,252,4,1635,18
2020-03-13,California,06,320,5,1955,23
2020-03-14,California,06,381,5,2336,28
2020-03-15,California,06,478,6,2814,34
2020-03-16,California,06,588,11,3402,45
2020-03-17,California,06,732,14,4134,59
2020-03-18,California,06,893,17,5027,76
2020-03-19,California,06,1067,19,6094,95
2020-03-20,California,06,1283,24,7377,119
2020-03-21,California,06,1544,28,8921,147
2020-03-22,California,06,1851,35,10772,182
2020-03-23,California,06,2240,39,13012,221
2020-03-24,California,06,2644,52,15656,273
2020-03-25,California,06,3183,67,18839,340
2020-03-26,California,06,4060,82,22899,422
2020-03-27,California,06,4914,102,27813,524
2020-03-28,California,06,5565,121,33378,645
2020-03-29,California,06,6266,130,39644,775
2020-03-30,California,06,7421,146,47065,921
2020-03-31,California,06,8582,183,55647,1104
2020-04-01,California,06,9816,212,65463,1316
2020-04-02,California,06,11190,247,76653,1563
2020-04-03,California,06,12569,282,89222,1845
2020-04-04,California,06,13796,323,103018,2168
2020-04-05,California,06,15076,349,118094,2517
2020-04-06,California,06,16284,386,134378,2903
2020-04-07,California,06,17540,447,151918,3350
2020-04-08,California,06,19043,506,170961,3856
2020-04-09,California,06,20191,548,191152,4404
2020-04-10,California,06,21366,594,212518,4998
2020-04-11,California,06,22421,632,234939,5630
2020-04-12,California,06,23323,676,258262,6306
2020-04-13,California,06,24334,725,282596,7031
2020-03-05,Colorado,08,2,0,2,0
2020-03-06,Colorado,08,8,0,10,0
2020-03-07,Colorado,08,8,0,18,0
2020-03-08,Colorado,08,8,0,26,0
2020-03-09,Colorado,08,12,0,38,0
2020-03-10,Colorado,08,17,0,55,0
2020-03-11,Colorado,08,34,0,89,0
2020-03-12,Colorado,08,49,1,138,1
2020-03-13,Colorado,08,78,2,216,3
2020-03-14,Colorado,08,103,2,319,5
2020-03-15,Colorado,08,136,2,455,7
2020-03-16,Colorado,08,161,2,616,9
2020-03-17,Colorado,08,183,3,799,12
2020-03-18,Colorado,08,216,3,1015,15
2020-03-19,Colorado,08,278,5,1293,20
2020-03-20,Colorado,08,364,5,1657,25
2020-03-21,Colorado,08,475,6,2132,31
2020-03-22,Colorado,08,591,7,2723,38
2020-03-23,Colorado,08,721,10,3444,48
2020-03-24,Colorado,08,912,11,4356,59
2020-03-25,Colorado,08,1086,19,5442,78
2020-03-26,Colorado,08,1432,24,6874,102
2020-03-27,Colorado,08,1735,31,8609,133
2020-03-28,Colorado,08,2061,44,10670,177
2020-03-29,Colorado,08,2315,47,12985,224
2020-03-30,Colorado,08,2628,51,15613,275
2020-03-31,Colorado,08,2990,69,18603,344
2020-04-01,Colorado,08,3346,80,21949,424
2020-04-02,Colorado,08,3728,96,25677,520
2020-04-03,Colorado,08,4182,110,29859,630
2020-04-04,Colorado,08,4574,126,34433,756
2020-04-05,Colorado,08,4950,140,39383,896
2020-04-06,Colorado,08,5172,150,44555,1046
2020-04-07,Colorado,08,5429,179,49984,1225
2020-04-08,Colorado,08,5655,192,55639,1417
2020-04-09,Colorado,08,6202,227,61841,1644
2020-04-10,Colorado,08,6510,253,68351,1897
2020-04-11,Colorado,08,6893,274,75244,2171
2020-04-12,Colorado,08,7303,290,82547,2461
2020-04-13,Colorado,08,7691,308,90238,2769
2020-03-08,Connecticut,09,1,0,1,0
2020-03-09,Connecticut,09,2,0,3,0
2020-03-10,Connecticut,09,2,0,5,0
2020-03-11,Connecticut,09,3,0,8,0
2020-03-12,Connecticut,09,6,0,14,0
2020-03-13,Connecticut,09,11,0,25,0
2020-03-14,Connecticut,09,20,0,45,0
2020-03-15,Connecticut,09,26,0,71,0
2020-03-16,Connecticut,09,41,0,112,0
2020-03-17,Connecticut,09,68,0,180,0
2020-03-18,Connecticut,09,96,1,276,1
2020-03-19,Connecticut,09,159,4,435,5
2020-03-20,Connecticut,09,194,4,629,9
2020-03-21,Connecticut,09,223,5,852,14
2020-03-22,Connecticut,09,327,8,1179,22
2020-03-23,Connecticut,09,415,10,1594,32
2020-03-24,Connecticut,09,618,12,2212,44
2020-03-25,Connecticut,09,875,19,3087,63
2020-03-26,Connecticut,09,1012,21,4099,84
2020-03-27,Connecticut,09,1291,27,5390,111
2020-03-28,Connecticut,09,1524,33,6914,144
2020-03-29,Connecticut,09,1993,34,8907,178
2020-03-30,Connecticut,09,2571,36,11478,214
2020-03-31,Connecticut,09,3128,69,14606,283
2020-04-01,Connecticut,09,3557,85,18163,368
2020-04-02,Connecticut,09,3824,112,21987,480
2020-04-03,Connecticut,09,4915,132,26902,612
2020-04-04,Connecticut,09,5276,165,32178,777
2020-04-05,Connecticut,09,5675,189,37853,966
2020-04-06,Connecticut,09,6906,206,44759,1172
2020-04-07,Connecticut,09,7781,277,52540,1449
2020-04-08,Connecticut,09,8781,335,61321,1784
2020-04-09,Connecticut,09,9784,380,71105,2164
2020-04-10,Connecticut,09,10538,448,81643,2612
2020-04-11,Connecticut,09,11510,494,93153,3106
2020-04-12,Connecticut,09,12035,554,105188,3660
2020-04-13,Connecticut,09,13381,602,118569,4262
2020-03-11,Delaware,10,1,0,1,0
2020-03-12,Delaware,10,4,0,5,0
2020-03-13,Delaware,10,4,0,9,0
2020-03-14,Delaware,10,4,0,13,0
2020-03-15,Delaware,10,7,0,20,0
2020-03-16,Delaware,10,8,0,28,0
2020-03-17,Delaware,10,16,0,44,0
2020-03-18,Delaware,10,26,0,70,0
2020-03-19,Delaware,10,30,0,100,0
2020-03-20,Delaware,10,39,0,139,0
2020-03-21,Delaware,10,45,0,184,0
2020-03-22,Delaware,10,56,0,240,0
2020-03-23,Delaware,10,87,0,327,0
2020-03-24,Delaware,10,104,0,431,0
2020-03-25,Delaware,10,119,0,550,0
2020-03-26,Delaware,10,143,1,693,1
2020-03-27,Delaware,10,165,2,858,3
2020-03-28,Delaware,10,214,5,1072,8
2020-03-29,Delaware,10,232,6,1304,14
2020-03-30,Delaware,10,264,7,1568,21
2020-03-31,Delaware,10,319,10,1887,31
2020-04-01,Delaware,10,368,11,2255,42
2020-04-02,Delaware,10,393,12,2648,54
2020-04-03,Delaware,10,450,14,3098,68
2020-04-04,Delaware,10,593,14,3691,82
2020-04-05,Delaware,10,673,14,4364,96
2020-04-06,Delaware,10,783,15,5147,111
2020-04-07,Delaware,10,928,16,6075,127
2020-04-08,Delaware,10,1116,19,7191,146
2020-04-09,Delaware,10,1209,23,8400,169
2020-04-10,Delaware,10,1326,32,9726,201
2020-04-11,Delaware,10,1479,33,11205,234
2020-04-12,Delaware,10,1625,35,12830,269
2020-04-13,Delaware,10,1761,41,14591,310
2020-03-07,District of Columbia,11,1,0,1,0
2020-03-08,District of Columbia,11,1,0,2,0
2020-03-09,District of Columbia,11,4,0,6,0
2020-03-10,District of Columbia,11,4,0,10,0
2020-03-11,District of Columbia,11,10,0,20,0
2020-03-12,District of Columbia,11,10,0,30,0
2020-03-13,District of Columbia,11,10,0,40,0
2020-03-14,District of Columbia,11,16,0,56,0
2020-03-15,District of Columbia,11,17,0,73,0
2020-03-16,District of Columbia,11,22,0,95,0
2020-03-17,District of Columbia,11,31,0,126,0
2020-03-18,District of Columbia,11,36,0,162,0
2020-03-19,District of Columbia,11,68,0,230,0
2020-03-20,District of Columbia,11,77,1,307,1
2020-03-21,District of Columbia,11,98,1,405,2
2020-03-22,District of Columbia,11,116,2,521,4
2020-03-23,District of Columbia,11,138,2,659,6
2020-03-24,District of Columbia,11,183,2,842,8
2020-03-25,District of Columbia,11,231,3,1073,11
2020-03-26,District of Columbia,11,267,3,1340,14
2020-03-27,District of Columbia,11,304,4,1644,18
2020-03-28,District of Columbia,11,342,4,1986,22
2020-03-29,District of Columbia,11,342,4,2328,26
2020-03-30,District of Columbia,11,495,9,2823,35
2020-03-31,District of Columbia,11,495,9,3318,44
2020-04-01,District of Columbia,11,586,11,3904,55
2020-04-02,District of Columbia,11,653,12,4557,67
2020-04-03,District of Columbia,11,757,15,5314,82
2020-04-04,District of Columbia,11,902,21,6216,103
2020-04-05,District of Columbia,11,998,22,7214,125
2020-04-06,District of Columbia,11,1097,24,8311,149
2020-04-07,District of Columbia,11,1211,22,9522,171
2020-04-08,District of Columbia,11,1440,27,10962,198
2020-04-09,District of Columbia,11,1523,32,12485,230
2020-04-10,District of Columbia,11,1660,38,14145,268
2020-04-11,District of Columbia,11,1778,47,15923,315
2020-04-12,District of Columbia,11,1875,50,17798,365
2020-04-13,District of Columbia,11,1955,52,19753,417
2020-03-01,Florida,12,2,0,2,0
2020-03-02,Florida,12,2,0,4,0
2020-03-03,Florida,12,3,0,7,0
2020-03-04,Florida,12,3,0,10,0
2020-03-05,Florida,12,4,0,14,0
2020-03-06,Florida,12,7,2,21,2
2020-03-07,Florida,12,12,2,33,4
2020-03-08,Florida,12,13,2,46,6
2020-03-09,Florida,12,14,2,60,8
2020-03-10,Florida,12,23,2,83,10
2020-03-11,Florida,12,26,2,109,12
2020-03-12,Florida,12,46,2,155,14
2020-03-13,Florida,12,70,2,225,16
2020-03-14,Florida,12,70,3,295,19
2020-03-15,Florida,12,109,3,404,22
2020-03-16,Florida,12,141,4,545,26
2020-03-17,Florida,12,210,6,755,32
2020-03-18,Florida,12,326,7,1081,39
2020-03-19,Florida,12,434,8,1515,47
2020-03-20,Florida,12,564,9,2079,56
2020-03-21,Florida,12,764,11,2843,67
2020-03-22,Florida,12,1000,13,3843,80
2020-03-23,Florida,12,1222,18,5065,98
2020-03-24,Florida,12,1467,19,6532,117
2020-03-25,Florida,12,1965,23,8497,140
2020-03-26,Florida,12,2477,29,10974,169
2020-03-27,Florida,12,3198,46,14172,215
2020-03-28,Florida,12,4038,56,18210,271
2020-03-29,Florida,12,4942,59,23152,330
2020-03-30,Florida,12,5694,71,28846,401
2020-03-31,Florida,12,6741,85,35587,486
2020-04-01,Florida,12,7765,100,43352,586
2020-04-02,Florida,12,9000,144,52352,730
2020-04-03,Florida,12,10260,169,62612,899
2020-04-04,Florida,12,11537,194,74149,1093
2020-04-05,Florida,12,12342,220,86491,1313
2020-04-06,Florida,12,13621,253,100112,1566
2020-04-07,Florida,12,14739,295,114851,1861
2020-04-08,Florida,12,15690,322,130541,2183
2020-04-09,Florida,12,16819,370,147360,2553
2020-04-10,Florida,12,17960,418,165320,2971
2020-04-11,Florida,12,18978,445,184298,3416
2020-04-12,Florida,12,19855,460,204153,3876
2020-04-13,Florida,12,21011,498,225164,4374
2020-03-02,Georgia,13,2,0,2,0
2020-03-03,Georgia,13,2,0,4,0
2020-03-04,Georgia,13,2,0,6,0
2020-03-05,Georgia,13,2,0,8,0
2020-03-06,Georgia,13,3,0,11,0
2020-03-07,Georgia,13,7,0,18,0
2020-03-08,Georgia,13,11,0,29,0
2020-03-09,Georgia,13,17,0,46,0
2020-03-10,Georgia,13,22,0,68,0
2020-03-11,Georgia,13,31,0,99,0
2020-03-12,Georgia,13,31,1,130,1
2020-03-13,Georgia,13,41,1,171,2
2020-03-14,Georgia,13,65,1,236,3
2020-03-15,Georgia,13,97,1,333,4
2020-03-16,Georgia,13,118,1,451,5
2020-03-17,Georgia,13,142,1,593,6
2020-03-18,Georgia,13,193,3,786,9
2020-03-19,Georgia,13,282,10,1068,19
2020-03-20,Georgia,13,482,14,1550,33
2020-03-21,Georgia,13,552,20,2102,53
2020-03-22,Georgia,13,620,25,2722,78
2020-03-23,Georgia,13,800,25,3522,103
2020-03-24,Georgia,13,1097,38,4619,141
2020-03-25,Georgia,13,1387,47,6006,188
2020-03-26,Georgia,13,1643,56,7649,244
2020-03-27,Georgia,13,2198,64,9847,308
2020-03-28,Georgia,13,2447,79,12294,387
2020-03-29,Georgia,13,2683,83,14977,470
2020-03-30,Georgia,13,3032,102,18009,572
2020-03-31,Georgia,13,4117,125,22126,697
2020-04-01,Georgia,13,4748,154,26874,851
2020-04-02,Georgia,13,5444,176,32318,1027
2020-04-03,Georgia,13,5967,198,38285,1225
2020-04-04,Georgia,13,6383,208,44668,1433
2020-04-05,Georgia,13,6742,219,51410,1652
2020-04-06,Georgia,13,7558,294,58968,1946
2020-04-07,Georgia,13,9156,348,68124,2294
2020-04-08,Georgia,13,10204,370,78328,2664
2020-04-09,Georgia,13,10885,412,89213,3076
2020-04-10,Georgia,13,11859,425,101072,3501
2020-04-11,Georgia,13,12261,432,113333,3933
2020-04-12,Georgia,13,12103,438,125436,4371
2020-04-13,Georgia,13,13125,479,138561,4850
2020-03-15,Guam,66,3,0,3,0
2020-03-16,Guam,66,3,0,6,0
2020-03-17,Guam,66,3,0,9,0
2020-03-18,Guam,66,8,0,17,0
2020-03-19,Guam,66,12,0,29,0
2020-03-20,Guam,66,14,0,43,0
2020-03-21,Guam,66,15,0,58,0
2020-03-22,Guam,66,27,1,85,1
2020-03-23,Guam,66,29,1,114,2
2020-03-24,Guam,66,32,1,146,3
2020-03-25,Guam,66,32,1,178,4
2020-03-26,Guam,66,49,1,227,5
2020-03-27,Guam,66,53,1,280,6
2020-03-28,Guam,66,57,1,337,7
2020-03-29,Guam,66,58,1,395,8
2020-03-30,Guam,66,60,1,455,9
2020-03-31,Guam,66,139,2,594,11
2020-04-01,Guam,66,147,3,741,14
2020-04-02,Guam,66,152,3,893,17
2020-04-03,Guam,66,154,4,1047,21
2020-04-04,Guam,66,223,4,1270,25
2020-04-05,Guam,66,265,4,1535,29
2020-04-06,Guam,66,266,4,1801,33
2020-04-07,Guam,66,274,4,2075,37
2020-04-08,Guam,66,409,4,2484,41
2020-04-09,Guam,66,542,4,3026,45
2020-04-10,Guam,66,577,4,3603,49
2020-04-11,Guam,66,681,5,4284,54
2020-04-12,Guam,66,716,5,5000,59
2020-04-13,Guam,66,716,6,5716,65
2020-03-06,Hawaii,15,1,0,1,0
2020-03-07,Hawaii,15,1,0,2,0
2020-03-08,Hawaii,15,2,0,4,0
2020-03-09,Hawaii,15,2,0,6,0
2020-03-10,Hawaii,15,2,0,8,0
2020-03-11,Hawaii,15,2,0,10,0
2020-03-12,Hawaii,15,2,0,12,0
2020-03-13,Hawaii,15,2,0,14,0
2020-03-14,Hawaii,15,4,0,18,0
2020-03-15,Hawaii,15,7,0,25,0
2020-03-16,Hawaii,15,10,0,35,0
2020-03-17,Hawaii,15,14,0,49,0
2020-03-18,Hawaii,15,16,0,65,0
2020-03-19,Hawaii,15,26,0,91,0
2020-03-20,Hawaii,15,37,0,128,0
2020-03-21,Hawaii,15,48,0,176,0
2020-03-22,Hawaii,15,56,0,232,0
2020-03-23,Hawaii,15,77,0,309,0
2020-03-24,Hawaii,15,90,0,399,0
2020-03-25,Hawaii,15,95,0,494,0
2020-03-26,Hawaii,15,106,0,600,0
2020-03-27,Hawaii,15,120,0,720,0
2020-03-28,Hawaii,15,151,0,871,0
2020-03-29,Hawaii,15,175,0,1046,0
2020-03-30,Hawaii,15,204,0,1250,0
2020-03-31,Hawaii,15,224,1,1474,1
2020-04-01,Hawaii,15,258,1,1732,2
2020-04-02,Hawaii,15,283,2,2015,4
2020-04-03,Hawaii,15,317,3,2332,7
2020-04-04,Hawaii,15,349,3,2681,10
2020-04-05,Hawaii,15,369,4,3050,14
2020-04-06,Hawaii,15,385,5,3435,19
2020-04-07,Hawaii,15,408,5,3843,24
2020-04-08,Hawaii,15,433,5,4276,29
2020-04-09,Hawaii,15,440,6,4716,35
2020-04-10,Hawaii,15,463,8,5179,43
2020-04-11,Hawaii,15,484,8,5663,51
2020-04-12,Hawaii,15,497,9,6160,60
2020-04-13,Hawaii,15,502,9,6662,69
2020-03-13,Idaho,16,1,0,1,0
2020-03-14,Idaho,16,5,0,6,0
2020-03-15,Idaho,16,5,0,11,0
2020-03-16,Idaho,16,5,0,16,0
2020-03-17,Idaho,16,9,0,25,0
2020-03-18,Idaho,16,11,0,36,0
2020-03-19,Idaho,16,23,0,59,0
2020-03-20,Idaho,16,31,0,90,0
2020-03-21,Idaho,16,42,0,132,0
2020-03-22,Idaho,16,47,0,179,0
2020-03-23,Idaho,16,50,0,229,0
2020-03-24,Idaho,16,73,0,302,0
2020-03-25,Idaho,16,123,0,425,0
2020-03-26,Idaho,16,189,3,614,3
2020-03-27,Idaho,16,231,4,845,7
2020-03-28,Idaho,16,261,5,1106,12
2020-03-29,Idaho,16,310,6,1416,18
2020-03-30,Idaho,16,415,7,1831,25
2020-03-31,Idaho,16,526,9,2357,34
2020-04-01,Idaho,16,669,9,3026,43
2020-04-02,Idaho,16,891,9,3917,52
2020-04-03,Idaho,16,1013,10,4930,62
2020-04-04,Idaho,16,1077,10,6007,72
2020-04-05,Idaho,16,1101,10,7108,82
2020-04-06,Idaho,16,1170,13,8278,95
2020-04-07,Idaho,16,1210,15,9488,110
2020-04-08,Idaho,16,1232,19,10720,129
2020-04-09,Idaho,16,1353,24,12073,153
2020-04-10,Idaho,16,1397,25,13470,178
2020-04-11,Idaho,16,1407,27,14877,205
2020-04-12,Idaho,16,1426,27,16303,232
2020-04-13,Idaho,16,1453,33,17756,265
2020-01-24,Illinois,17,1,0,1,0
2020-01-25,Illinois,17,1,0,2,0
2020-01-26,Illinois,17,1,0,3,0
2020-01-27,Illinois,17,1,0,4,0
2020-01-28,Illinois,17,1,0,5,0
2020-01-29,Illinois,17,1,0,6,0
2020-01-30,Illinois,17,2,0,8,0
2020-01-31,Illinois,17,2,0,10,0
2020-02-01,Illinois,17,2,0,12,0
2020-02-02,Illinois,17,2,0,14,0
2020-02-03,Illinois,17,2,0,16,0
2020-02-04,Illinois,17,2,0,18,0
2020-02-05,Illinois,17,2,0,20,0
2020-02-06,Illinois,17,2,0,22,0
